Relationship ID,Entrance ID,Station Code,Station Name
0,10796851698,AG10;SP10,Pudu
1,5485710279,KJ11,Kampung Baru
2,5485710278,KJ11,Kampung Baru
3,9740843587,KJ13,Masjid Jamek (KJ)
4,9983121350,KJ13,Masjid Jamek (KJ)
5,11039725697,KJ13,Masjid Jamek (KJ)
6,5044809567,KG16,Pasar Seni (KG)
7,5044809566,KG16,Pasar Seni (KG)
8,10800273158,KG16,Pasar Seni (KG)
9,11039579994,AG4;SP4,PWTC
10,11039579993,AG4;SP4,PWTC
11,9913027336,AG1;SP1,Sentul Timur
12,5386930796,AG3;SP3,Titiwangsa (LRT)
13,10860751179,AG3;SP3,Titiwangsa (LRT)
14,3308608989,KJ10,KLCC
15,3308608988,KJ10,KLCC
16,5392028001,KJ9,Ampang Park (LRT)
17,5485710268,KJ9,Ampang Park (LRT)
18,10864116957,KJ7,Dato' Keramat
19,9933445416,KJ5,Setiawangsa
20,9933445415,KJ5,Setiawangsa
21,9933445412,KJ5,Setiawangsa
22,5385396790,KG14,Semantan
23,5385396799,KG14,Semantan
24,5484250432,KG13,Pusat Bandar Damansara
25,5484250431,KG13,Pusat Bandar Damansara
26,5484250467,KG12,Phileo Damansara
27,5484250475,KG10,Taman Tun Dr Ismail
28,5484250474,KG10,Taman Tun Dr Ismail
29,5261535590,KG09,Bandar Utama
30,5488029391,KG09,Bandar Utama
31,5042521364,KG22,Maluri (KG)
32,5042521355,KG22,Maluri (KG)
33,5042521365,KG22,Maluri (KG)
34,7104299331,KG22,Maluri (KG)
35,5042521354,KG22,Maluri (KG)
36,6575190638,SP16,Sungai Besi (LRT)
37,9646411432,SP16,Sungai Besi (LRT)
38,10941247782,AG16,Cempaka
39,5737775567,AG16,Cempaka
40,7629425122,AG17,Cahaya
41,10804709653,KJ19,Universiti
42,10804709680,KJ19,Universiti
43,5261535570,KG08,Mutiara Damansara
44,5261535560,KG08,Mutiara Damansara
45,5261535561,KG08,Mutiara Damansara
46,5261535576,KG08,Mutiara Damansara
47,5484616510,KG07,Surian
48,5484616509,KG07,Surian
49,9358657242,KG07,Surian
50,5484616646,KG06,Kota Damansara
51,5484616643,KG06,Kota Damansara
52,5261439396,KG05,Kwasa Sentral
53,5261535537,KG05,Kwasa Sentral
54,9853266686,KG04,Kwasa Damansara (KG)
55,4533242217,PY03,Kampung Selamat
56,5261535531,PY03,Kampung Selamat
57,5261535528,PY03,Kampung Selamat
