name,stop_id,latitude,longitude,line_colour,colour_hex_code,route_name,route_id,region
Eunos MRT Station,EW7,1.319778952,103.9032339,Green,#009530,East West Line,EWL,Singapore
Chinese Garden MRT Station,EW25,1.342352821,103.7326244,Green,#009530,East West Line,EWL,Singapore
Khatib MRT Station,NS14,1.41738337,103.83298,Red,#dc241f,North South Line,NSL,Singapore
Kranji MRT Station,NS7,1.425177699,103.7621874,Red,#dc241f,North South Line,NSL,Singapore
Redhill MRT Station,EW18,1.289562726,103.8168209,Green,#009530,East West Line,EWL,Singapore
Yew Tee MRT Station,NS5,1.397535018,103.7474307,Red,#dc241f,North South Line,NSL,Singapore
Pioneer MRT Station,EW28,1.337586882,103.6973586,Green,#009530,East West Line,EWL,Singapore
Commonwealth MRT Station,EW20,1.302438735,103.7983136,Green,#009530,East West Line,EWL,Singapore
Paya Lebar MRT Station,EW8,1.318112082,103.8930446,Green,#009530,East West Line,EWL,Singapore
Simei MRT Station,EW3,1.343202895,103.9533387,Green,#009530,East West Line,EWL,Singapore
Tampines MRT Station,EW2,1.353301356,103.9451175,Green,#009530,East West Line,EWL,Singapore
Admiralty MRT Station,NS10,1.440585001,103.8009982,Red,#dc241f,North South Line,NSL,Singapore
Yishun MRT Station,NS13,1.429443081,103.8350045,Red,#dc241f,North South Line,NSL,Singapore
Pasir Ris MRT Station,EW1,1.372983774,103.9492348,Green,#009530,East West Line,EWL,Singapore
Clementi MRT Station,EW23,1.314954492,103.7653168,Green,#009530,East West Line,EWL,Singapore
Aljunied MRT Station,EW9,1.316432612,103.882893,Green,#009530,East West Line,EWL,Singapore
Expo MRT Station,CG1,1.334549778,103.9615134,Green,#009530,Changi Airport Branch Line,CAL,Singapore
Choa Chu Kang MRT Station,NS4,1.385361693,103.744367,Red,#dc241f,North South Line,NSL,Singapore
Jurong East MRT Station,EW24,1.33315262,103.7423112,Green,#009530,East West Line,EWL,Singapore
Jurong East MRT Station,NS1,1.33315262,103.7423112,Red,#dc241f,North South Line,NSL,Singapore
Queenstown MRT Station,EW19,1.294860933,103.8058913,Green,#009530,East West Line,EWL,Singapore
Tuas Link MRT Station,EW33,1.340463766,103.6369324,Green,#009530,East West Line,EWL,Singapore
Gul Circle MRT Station,EW30,1.319505215,103.6605988,Green,#009530,East West Line,EWL,Singapore
Woodlands MRT Station,NS9,1.436875128,103.7864999,Red,#dc241f,North South Line,NSL,Singapore
Tuas Crescent MRT Station,EW31,1.321026553,103.6491245,Green,#009530,East West Line,EWL,Singapore
Kallang MRT Station,EW10,1.31148891,103.8713766,Green,#009530,East West Line,EWL,Singapore
Tuas West Road MRT Station,EW32,1.329989089,103.6396662,Green,#009530,East West Line,EWL,Singapore
Buona Vista MRT Station,EW21,1.307183467,103.7902028,Green,#009530,East West Line,EWL,Singapore
Dover MRT Station,EW22,1.311405293,103.7786522,Green,#009530,East West Line,EWL,Singapore
Sembawang MRT Station,NS11,1.449050821,103.8200504,Red,#dc241f,North South Line,NSL,Singapore
Kembangan MRT Station,EW6,1.321038249,103.9129282,Green,#009530,East West Line,EWL,Singapore
Bukit Batok MRT Station,NS2,1.349034109,103.74959,Red,#dc241f,North South Line,NSL,Singapore
Ang Mo Kio MRT Station,NS16,1.369933175,103.8495535,Red,#dc241f,North South Line,NSL,Singapore
Boon Lay MRT Station,EW27,1.338604054,103.7060994,Green,#009530,East West Line,EWL,Singapore
Bukit Gombak MRT Station,NS3,1.358761857,103.7519164,Red,#dc241f,North South Line,NSL,Singapore
Marsiling MRT Station,NS8,1.432514421,103.77409,Red,#dc241f,North South Line,NSL,Singapore
Bedok MRT Station,EW5,1.323979969,103.9299587,Green,#009530,East West Line,EWL,Singapore
Joo Koon MRT Station,EW29,1.327717173,103.6784167,Green,#009530,East West Line,EWL,Singapore
Lakeside MRT Station,EW26,1.344259249,103.7209802,Green,#009530,East West Line,EWL,Singapore
Tanah Merah MRT Station,EW4,1.327187135,103.9463161,Green,#009530,East West Line,EWL,Singapore
Yio Chu Kang MRT Station,NS15,1.381756046,103.8449439,Red,#dc241f,North South Line,NSL,Singapore
Oasis LRT Station,PE6,1.402286677,103.9127036,Grey,#748477,Punggol LRT,PL,Singapore
Sam Kee LRT Station,PW1,1.409612685,103.9048099,Grey,#748477,Punggol LRT,PL,Singapore
Farmway LRT Station,SW2,1.397170196,103.8892882,Grey,#748477,Sengkang LRT,SL,Singapore
Kupang LRT Station,SW3,1.398212828,103.881242,Grey,#748477,Sengkang LRT,SL,Singapore
Renjong LRT Station,SW8,1.386723922,103.8905227,Grey,#748477,Sengkang LRT,SL,Singapore
Bukit Panjang LRT Station,BP6,1.377909898,103.763034,Grey,#0354a6,Bukit Panjang LRT,BPL,Singapore
Fajar LRT Station,BP10,1.384520796,103.7708268,Grey,#748477,Bukit Panjang LRT,BPL,Singapore
Punggol LRT Station,PTC,1.405194701,103.9023911,Grey,#748477,Punggol LRT,PL,Singapore
Samudera LRT Station,PW4,1.415901719,103.9021353,Grey,#748477,Punggol LRT,PL,Singapore
Nibong LRT Station,PW5,1.411870458,103.9002935,Grey,#748477,Punggol LRT,PL,Singapore
Soo Teck LRT Station,PW7,1.405088585,103.8971904,Grey,#748477,Punggol LRT,PL,Singapore
Kadaloor LRT Station,PE5,1.399584853,103.9164619,Grey,#748477,Punggol LRT,PL,Singapore
Coral Edge LRT Station,PE3,1.393909226,103.9125574,Grey,#748477,Punggol LRT,PL,Singapore
Thanggam LRT Station,SW4,1.397318155,103.8756226,Grey,#748477,Sengkang LRT,SL,Singapore
Keat Hong LRT Station,BP3,1.378602766,103.7490799,Grey,#748477,Bukit Panjang LRT,BPL,Singapore
Damai LRT Station,PE7,1.405234836,103.9085809,Grey,#748477,Punggol LRT,PL,Singapore
Cove LRT Station,PE1,1.399281985,103.9059403,Grey,#748477,Punggol LRT,PL,Singapore
Riviera LRT Station,PE4,1.394524496,103.9161415,Grey,#748477,Punggol LRT,PL,Singapore
Senja LRT Station,BP13,1.382692296,103.7623879,Grey,#748477,Bukit Panjang LRT,BPL,Singapore
Jelapang LRT Station,BP12,1.386703025,103.7645235,Grey,#748477,Bukit Panjang LRT,BPL,Singapore
Petir LRT Station,BP7,1.377750334,103.7666882,Grey,#748477,Bukit Panjang LRT,BPL,Singapore
Teck Whye LRT Station,BP4,1.376684679,103.7537352,Grey,#748477,Bukit Panjang LRT,BPL,Singapore
Choa Chu Kang LRT Station,BP1,1.38483636,103.7445797,Grey,#748477,Bukit Panjang LRT,BPL,Singapore
South View LRT Station,BP2,1.380298287,103.7453173,Grey,#748477,Bukit Panjang LRT,BPL,Singapore
Layar LRT Station,SW6,1.392079839,103.8800158,Grey,#748477,Sengkang LRT,SL,Singapore
Kangkar LRT Station,SE4,1.383978902,103.9021539,Grey,#748477,Sengkang LRT,SL,Singapore
Meridian LRT Station,PE2,1.396912053,103.9089277,Grey,#748477,Punggol LRT,PL,Singapore
Cheng Lim LRT Station,SW1,1.396277631,103.8937792,Grey,#748477,Sengkang LRT,SL,Singapore
Punggol Point LRT Station,PW3,1.41684852,103.9066284,Grey,#748477,Punggol LRT,PL,Singapore
Sumang LRT Station,PW6,1.408452426,103.8985387,Grey,#748477,Punggol LRT,PL,Singapore
Fernvale LRT Station,SW5,1.391885888,103.8762959,Grey,#748477,Sengkang LRT,SL,Singapore
Tongkang LRT Station,SW7,1.389347953,103.8858287,Grey,#748477,Sengkang LRT,SL,Singapore
Pending LRT Station,BP8,1.376142883,103.7712881,Grey,#748477,Bukit Panjang LRT,BPL,Singapore
Teck Lee LRT Station,PW2,1.412770894,103.9065554,Grey,#748477,Punggol LRT,PL,Singapore
Bangkit LRT Station,BP9,1.380017897,103.7726667,Grey,#748477,Bukit Panjang LRT,BPL,Singapore
Bakau LRT Station,SE3,1.388092704,103.9054179,Grey,#748477,Sengkang LRT,SL,Singapore
Rumbia LRT Station,SE2,1.391468497,103.9059522,Grey,#748477,Sengkang LRT,SL,Singapore
Compassvale LRT Station,SE1,1.394493046,103.9004726,Grey,#748477,Sengkang LRT,SL,Singapore
